City,State,Zip,Aspergillus flavus/oryzae,Aspergillus fumigatus,Aspergillus niger,Aspergillus ochraceus,Aspergillus penicillioides,Aspergillus restrictus*,Aspergillus sclerotiorum,Aspergillus sydowii,Aspergillus unguis,Aspergillus versicolor,Aureobasidium pullulans,Chaetomium globosum,Cladosporium sphaerospermum,Eurotium (Asp.) amstelodami*,Paecilomyces variotii,Penicillium brevicompactum,Penicillium corylophilum,Penicillium crustosum*,Penicillium purpurogenum,Penicillium spinulosum*,Penicillium variabile,Scopulariopsis brevicaulis/fusca,Scopulariopsis chartarum,Stachybotrys chartarum,Trichoderma viride*,Wallemia sebi,Acremonium strictum,Alternaria alternata,Aspergillus ustus,Cladosporium cladosporioides 1,Cladosporium cladosporioides 2,Cladosporium herbarum,Epicoccum nigrum,Mucor amphibiorum*,Penicillium chrysogenum,Rhizopus stolonifer,ERMI Score (Group I - Group II),Circulatory_loworreactivebloodpressure
Mountain Brook,Alabama,35223,0,0,14,0,0,11,0,0,0,0,1573,31,26949,192,8,24,292,0,0,0,12,0,2,0,26,176,9,19,15,0,0,0,372,10,29,6,9.2,1
Wasilla,Alaska,99623,0,0,12,0,5,0,0,0,0,0,1554,3,0,64,0,47,16,20,0,0,3,0,0,0,14,5,0,0,0,470,12,114,67,24,111,0,2.5,0
Soldotna,Alaska,99669-8654,0,3,3,234,0,6,0,5,0,279,1966,3,4,390,0,23,106,12,0,0,0,0,0,0,9,8,0,0,119,0,0,0,60,173,70,0,6.4,0
Soldotna,Alaska,99669,0,0,0,0,0,0,0,0,0,6,2231,0,0,42,0,17,0,37,0,5,0,0,0,0,0,0,0,0,0,0,0,0,435,4,49,0,0.1,0
Anchorage,Alaska,99508-4014,64,5,32,0,0,6,0,0,0,6,44,1,1,160,0,43,21,11,0,0,0,1,0,2,0,190,2,3,0,0,0,0,2,7,83,12,5.83,0
Sherwood Park,Alberta,T8A6P1,0,309,4,0,15,0,8,0,0,115,21,8,0,4,0,31,0,15,0,127,20,0,5,0,0,5,103,47,0,82,2,3002,50,3,3,0,5.6,0
Crossfield,Alberta,T0M0R0,0,1,11,0,0,3,0,0,0,30,69,9,0,500,0,1,0,47,0,0,8,2,6,190,0,33,5,94,0,0,0,0,140,10,310,7,0.46,1
Calgary,Alberta,T2W 4C1,0,17,396,0,0,0,0,0,0,0,1062,14,13,520,0,100,3,140,7,32,13,39,4,48,4,27,15,8,5,0,0,0,185,65,405,0,10.3,0
Scottsdale,Arizona,85251,5,3,83,9,428,0,3,35,12,95,2586,0,6270,244,23,347,5623,9,8,0,6,2,9,0,2,8,4,53,68,327,212,4,5,7,371,0,20.3,0
Tucson,Arizona,85701,92,21,4807,60,1848,3,7,12,68,22,6624,5,26,330,208,328,81,42,51,8,9,3,9,4,22,23,3,306,120,2118,42,26,13,91,16,5,26.3,0
Tucson,Arizona,85743,33,10,160,10,141,0,0,0,13,0,51391,0,0,345,8,15,0,0,0,0,0,2,3,5,55,6,12,85,10,1735,14,8,12,133,0,0,9.9,0
Lake Havasu City,Arizona,86406,21,9,1202,22,1173,0,4,54,0,0,1727,27,3,329,16,259,3,24,22,0,936,17,5,20,13,18,0,96,119,301,18,24,12,80,60,20,20.0,0
Mesa,Arizona,85213,0,0,30,0,9,0,0,0,0,0,1595,0,0,37,4,0,0,0,0,0,0,0,0,0,2,0,0,17,0,101,0,4,21,6,0,0,2.2,0
Queen Creek,Arizona,85142,132,30,1792,40,939,5,14,0,5,0,4058,0,4,751,254,30,20,0,5,0,2,3,6,8,28,11,5,176,44,2741,27,19,10,129,17,10,15.9,0
Phoenix,Arizona,85024,9,7,195,5,53,0,0,12,2,0,7003,10,29,126,62,8,7,0,0,0,8,6,2,5,40,3,0,52,10,249,3,14,8,13,13,3,14.2,0
Scottsdale,Arizona,85255,134,44,3129,58,0,6,13,0,18,0,7383,7,5,1652,26,126,36,0,30,0,2,7,13,13,10,12,2,263,124,0,0,0,17,227,55,46,16.8,1
Phoenix,Arizona,85044,4,0,102,0,0,0,0,0,0,0,1814,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,22,2,0,0,0,20,0,2,0,2.8,0
Sedona,Arizona,86351-6965,6,4,55,5,0,0,2,69,10,8162,6820,16,4,116,17,162,11,0,4,0,7,3,37,0,7,4,0,41,14,0,0,0,14,50,428,0,17.1,0
Mesa,Arizona,85204,22,20,190,8,0,5,6,32,11,33,11515,0,19,605,10,13,0,6,2,0,0,38,59,13,10,371,0,1473,13,0,0,0,183,27,6,8,15.5,0
Tucson,Arizona,85745-8930,6,16,96,4,0,0,0,0,3,0,21378,0,3,156,11,45,0,0,4,0,4,4,3,9,5,17,0,205,8,0,0,0,41,5,3,0,9.1,0
Phoenix,Arizona,85044-7048,4,3,127,7,0,0,4,0,0,0,2563,0,5,39,95,22,8,0,0,0,3,12,4,5,0,7,0,58,11,0,0,0,30,9,9,0,9.8,0
Flagstaff,Arizona,86001-2874,4,4,158,0,0,0,0,0,0,56,5384,81,4,159,2,222,41,783,0,0,3,11,3,26,85,3,3,23,8,0,0,0,23,33,190,0,14.5,0
Paradise valley,Arizona,85253,5,2,153,13,0,0,0,0,4,0,858,5,5,342,12,52,21,0,5,0,6,0,7,9,0,8,0,48,55,0,0,0,5,8,20,10,10.6,0
Phoenix,Arizona,85041,8,6,128,0,0,0,0,0,0,0,477,0,6,470,9,4,0,0,0,0,0,3,0,0,0,13,4,236,0,0,0,0,22,9,0,0,3.7,0
Unit A,Arizona,Az 85331,93,4,190,28,0,3,4,41,0,91,47009,0,4,729,39,54,3,111,32,0,15,148,8,3,24,121,6,46,13,0,0,0,14,90,13,61,22.7,0
Rogers,Arkansas,72758,11,8,69,0,539,7,3,0,0,0,1094,3,19,2955,18,12,0,0,0,0,203,4,9,0,16,64,22,111,0,4857,3,188,1324,17,33,0,9.5,0
Fayetteville,Arkansas,72703-2072,0,7,7,0,0,4,5,0,0,55,614,3,19,1541,5,39,0,0,0,0,3,3,5,0,16,15,10,29,0,0,0,0,144,14,9,0,9.3,0
Morrilton,Arkansas,72110,6,0,87,29,0,61,3,190,3,841,1168,34,592,6323,30,334,2529,63,0,2,226,14,46,0,261,129,13,45,3,0,0,0,733,45,272,0,28.7,0
Fayetteville,Arkansas,72701-6616,2,140,360,170,0,80,4,18,53,760,300,94,290,510,2,50,1,33,2,3300,16,0,9,7,5,290,21,210,5,0,0,0,500,25,150,0,24.19,0
Bella vista,Arkansas,72714,8,16,113,46,0,229,34,11,17,390,1978,1090,712,14,14,836,439,368,4,0,62,622,17,0,269,291,143,154,17,0,0,0,807,34,352,0,29.3,0
,British Columbia,V0C 1Y0,0,0,2,0,0,0,0,0,0,0,127,27,0,67,3,6,0,37,2,0,0,4,0,6,3,9,0,0,33,0,0,0,59,5,53,0,2.9,0
Montney,British Columbia,V0C 1Y0,0,0,44,0,0,0,0,0,0,155,292,0,0,921,0,22,0,8,3,0,2,7,15,0,7,16,4,5,0,0,0,0,105,3,25,0,7.1,0
Bowen Island,British Columbia,V0N 1G1,0,2,170,0,0,22,0,13,0,0,440,0,4,210,3,28,11,65,0,0,10,2,0,0,2,8,7,9,0,0,0,0,64,1,46,8,5.03,1
Whistler,British Columbia,V0N 1B8,0,7,7,0,0,17,2,0,0,32,424,3,21,223,1321,138,272,488,0,0,0,0,9,3,36,26,0,2,0,0,0,0,76,13,583,0,15.2,0
Huntington Beach,California,92646,1,22,240,72,110,3,2,22,1,45,63,66,9,55,4,33,14,16,0,1,4,1,32,1,1,66,75,4,3,660,260,180,37,4,330,10,9.96,0
los angeles,California,90066,1,3,100,8,11,1,0,2,0,19,1200,0,790,110,2,19,3,7,1,0,4,2,2,5,1,26,0,55,17,5100,130,230,20,10,41,46,3.52,0
San Diego,California,92119,0,14,48,6,61,0,2,0,0,178,1001,11,13,335,5,85,18,0,0,0,3,9,3,0,14,13,2,36,0,833,244,85,604,12,22,0,9.5,0
Carlsbad,California,92011,0,13,23,3,11,4,0,1,0,21,400,1,17,24,5,190,51,3,1,1,18,3,3,0,3,47,13,150,0,2200,550,240,58,59,48,7,2.85,0
Carlsbad,California,92011,0,7,73,3,67,1,0,7,0,6,140,3,11,49,6,38,3,19,1,0,1,0,0,1,0,25,0,73,5,280,72,72,29,1,45,17,4.46,0
Danville,California,94526,0,4,63,4,27,5,0,31,0,10,360,9,790,43,2,20,15,10,1,0,2,0,3,6,1,33,16,22,0,11000,520,2900,93,3,40,2,5.41,1
Malibu,California,90265,1,6,510,4,140,1,16,36,12,4900,970,17,23,400,4,160,22,490,1,1,18,13,570,200,4,72,1,140,9,1500,110,1200,8,33,5500,150,18.93,0
Valencia,California,91354,0,4,22,2,0,0,0,7,0,0,6300,2,1,20,1,18,33,0,0,0,0,2,10,1,0,1,160,240,0,2700,12,8,1,1,5,0,0.0,0
Santa Ysabel,California,92037,10,39,713,16,57,2,35,0,0,67,4624,2,7,286,11,157,164,14,18,5,25,11,11,19,119,25,2,49,9,4999,218,611,220,46,32,3,18.5,0
La Jolla,California,92037,3,29,161,7,432,25,11,10,0,106,2184,80,117,328,110,1213,36,11,7,3,37,9,9,7,75,111,13,57,5,4311,1012,235,135,27,268,22,20.2,0
Long Beach,California,90815,2,38,120,8,1528,71,65,0,0,522,24177,0,88,896,6,1444,970,0,10,9,5,3,6,4,224,19,6,130,0,3043,669,127,765,86,114,0,20.7,0
Cupertino,California,95014,6,16,300,14,110,13,0,7,1,110,1000,4,18,200,7,69,120,130,1,2,2,13,5,25,320,130,1,44,7,1000,160,1300,250,130,370,170,14.01,0
Davis,California,95618,0,0,8,0,3,0,0,0,0,0,7435,0,2,3,0,11,0,0,2,0,0,0,0,0,0,0,0,4,0,265,9,33,20,0,0,0,0.8,0
Los Angeles,California,91311,11,25,575,30,49,0,0,0,4,0,5368,4,10,447,13,679,27,0,9,2,9,15,18,10,69,47,5,46,21,2194,201,214,158,95,78,11,12.8,0
Porterville,California,93257,3,15,1110,10,185,0,6,0,0,75,6174,59,6,578,3,674,44,10,14,0,6,85,5,41,14,17,82,142,8,2855,276,632,965,46,257,26,11.9,0
San Jose,California,95123,2,13,260,11,230,3,0,180,1,530,1700,10,32,430,3,43,1100,39,2,2,14,25,22,47,5,1000,51,18,12,790,64,3600,170,74,370,18,17.4,0
Burlingame,California,94010,3,176,108,0,49,4,0,0,0,0,1931,0,12,83,4,286,205,22,4,0,0,0,3,5,51,11,12,6,0,2468,283,697,302,26,18,3,8.6,1
